,ID,Pun,Sense Key 1,Sense Key 2,Sentence
0,hom_2_9,saving,save%2:40:02::,save%2:41:02::,Wal - Mart isn ' t the only saving place ! nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
1,hom_3_7,sting,sting%1:26:01::,sting%1:04:01::,Can honeybee abuse lead to a sting operation ? nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2,hom_4_5,entrenched,entrenched%5:00:00:invulnerable:00,entrenched%5:00:00:established:00,A ditch digger was entrenched in his career . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
3,hom_5_15,forge,forge%2:36:00::,forge%2:38:01::,"She was only a Blacksmith ' s daughter , but she knew how to forge ahead . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
4,hom_7_14,hit,hit%1:04:00::,hit%1:04:02::,Did you hear about the new pinata ? It ' s a huge hit . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
5,hom_8_17,vault,vault%1:06:02::,vault%1:04:00::,A bank manager who was also a high jumper spent most of his time in the vault . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
6,hom_9_11,deep,deep%3:00:01::,deep%5:00:00:profound:00,A discussion of digging a new mine shaft was too deep for him . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
7,hom_10_13,pin,pin_on%2:32:00::,pin%2:35:01::,She was suspected of stealing a brooch but they couldn ' t pin it on her . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
8,hom_11_9,licked,lick%2:31:00::,lick%2:34:00::,Once ice cream was invented the problem was licked . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
9,hom_14_14,admitted,admit%2:32:00::,admit%2:41:01::,"' ' There ' s room for one more , ' ' Tom admitted . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "
