Unnamed: 0,ID,Pun,Sense Key 1,Sense Key 2,Sentence,
1,hom_1198_10,hold,"['Pressure', 'Engage', 'Grip', 'Transmission', 'Friction', 'Lever', 'Release', 'Comprehend', 'Understand', 'Clutch', 'Seize', 'Hold', 'Apprehend', 'Grasping', 'Grip', 'Hold', 'Secure', 'Fasten', 'Clench', 'Embrace', 'Clutch']","['Control', 'Manage', 'Limit', 'Balance', 'Regulate', 'Adjust', 'Govern', 'Reduce', 'Lessen', 'Abate', 'Decrease', 'Subside', 'Weaken', 'Curtail', 'Sidewalk', 'Pavement', 'Edge', 'Barrier', 'Ramp', 'Gutter', 'Kerb']",Wrestlers don ' t like to be put on hold . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan ,
2,hom_1200_7,roll,"['Rotate', 'Spin', 'Cycle', 'Orbit', 'Recur', 'Revolving', 'Circulate', 'Revolve', 'Spin', 'Cycle', 'Turn', 'Orbit', 'Swivel', 'Gyration', 'Wheel', 'Cycle', 'Revolve', 'Gyration', 'Whirl', 'Swirl', 'Rotate']","['Investment', 'Capital', 'Diversify', 'Interest', 'Profit', 'Yield', 'Assets', 'Reallocate', 'Relocate', 'Reassign', 'Reposition', 'Reorganize', 'Reallot', 'Reutilize', 'Refill', 'Recharge', 'Rejuvenate', 'Renew', 'Restock', 'Resupply', 'Refresh']",OLD INVESTORS never die they just roll over . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan ,
3,hom_1201_6,wave,"['Increase', 'Rise', 'Intensify', 'Expand', 'Inflate', 'Amplify', 'Augment', 'Toothpaste', 'Whitening', 'Fluoride', 'Oral Care', 'Cavity Protection', 'Tartar Control', 'Gum Health', 'Electricity', 'Voltage', 'Power', 'Outage', 'Fluctuation', 'Overload', 'Surge Protector']","['Electricity', 'Power', 'Voltage', 'Outage', 'Fluctuation', 'Increase', 'Amplitude', 'Ascend', 'Summit', 'Scramble', 'Traverse', 'Belay', 'Rappel', 'Grade', 'Fly', 'Ascend', 'Glide', 'Elevate', 'Lift', 'Takeoff', 'Rise']",Could modern submarines be the wave of the future ? nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan ,
4,hom_1209_18,target,[],"['Target', 'Objective', 'Pursue', 'Aspire', 'Intend', 'Ambition', 'Endeavor', 'Goal', 'Target', 'Aim', 'Outcome', 'Intention', 'Purpose', 'Endeavor', 'Drive', 'Goal', 'Success', 'Aspiration', 'Motivation', 'Determination', 'Achievement']","She was only an Archer ' s daughter , but to all the men she was the target . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan ",
5,hom_1211_5,loaded,[],"['Plentiful', 'Copious', 'Ample', 'Bountiful', 'Profuse', 'Generous', 'Lavish', 'Abundant', 'Plentiful', 'Filled', 'Stocked', 'Saturated', 'Laden', 'Overflowing', 'Abundant', 'Generous', 'Copious', 'Lavish', 'Plentiful', 'Profuse', 'Bountiful']",The lawyer asked a loaded question about guns . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan ,
6,hom_1213_18,swallow,"['Consume', 'Digest', 'Absorb', 'Swallow', 'Gulp', 'Inhale', 'Devour', 'Automation', 'Taskrunner', 'Streaming', 'Bundling', 'Compiling', 'Minification', 'Optimization', 'Flask', 'Bottle', 'Mug', 'Cup', 'Straw', 'Insulated', 'Tumbler']","['Reliability', 'Confidence', 'Credibility', 'Integrity', 'Security', 'Assurance', 'Faith', 'Accept', 'Recognize', 'Appreciate', 'Gratitude', 'Acknowledge', 'Thank', 'Affirm', 'Accept', 'Acknowledge', 'Admit', 'Agree', 'Allow', 'Surrender', 'Yield']","He told me he could eat a 32 ounce steak , but I found that hard to swallow . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan ",
7,hom_1214_9,pick,"['Increase', 'Boost', 'Uplift', 'Elevate', 'Augment', 'Amplify', 'Exalt', 'Enhance', 'Uplift', 'Boost', 'Exalt', 'Magnify', 'Amplify', 'Augment', 'Rise', 'Climb', 'Elevate', 'Soar', 'Ascendancy', 'Uplift', 'Upward']","['Stimulus', 'Reaction', 'Force', 'Acceleration', 'Momentum', 'Propulsion', 'Instinct', 'Shopping ', 'Bargain ', 'Discount ', 'Deals ', 'Coupons ', 'Savings ', 'Retail', 'Indulge', 'Extravagant', 'Lavish', 'Luxury', 'Expensive', 'Overindulge', 'Excessive']",The boy ' s guitar teacher helped him pick up his skills . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan ,
8,hom_1215_14,patch,"['Scent', 'Fragrance', 'Air freshener', 'Candles', 'Aroma', 'Plug-ins', 'Room spray', 'Woodland', 'Trees', 'Thicket', 'Brushwood', 'Greenery', 'Undergrowth', 'Coppice', 'Brushwood', 'Bramble', 'Coppice', 'Undergrowth', 'Copse', 'Greenery', 'Wilderness']","['Timer', 'Duration', 'Range', 'Recurrence', 'Frequency', 'Segment', 'Cycle', 'Spanish', 'Language', 'Culture', 'Latin', 'Iberian', 'Peninsula', 'Castilian', 'Length', 'Span', 'Interval', 'Period', 'Elapsed', 'Continuance', 'Extent']",Why was the rabbit depressed ? He was just going through a bad patch ! nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan ,
9,hom_1217_9,shelved,"['Delay', 'Defer', 'Reschedule', 'Postponement', 'Procrastinate', 'Suspend', 'Pause', 'Postpone', 'Delay', 'Reschedule', 'Suspend', 'Procrastinate', 'Hold', 'Abstain', 'Postpone', 'Linger', 'Procrastinate', 'Retard', 'Stagnate', 'Dally', 'Cessation']","['Store', 'Organize', 'Pack', 'Secure', 'Contain', 'Shelve', 'Inventory', 'Inventory', 'Shopping', 'Retail', 'Merchandise', 'Shelves', 'Checkout', 'Customer', 'Overflow', 'Exchange', 'Network', 'Programming', 'Database', 'Algorithm', 'Architecture']","OLD GROCERS never die , they just get shelved . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan ",
10,hom_1219_13,chickened,"['Escape', 'Avoid', 'Duck', 'Skirt', 'Dodge', 'Shun', 'Elude', 'Escape', 'Flee', 'Depart', 'Vanish', 'Evade', 'Retreat', 'Disappear', 'Surrender', 'Abandon', 'Cede', 'Release', 'Forsake', 'Yield', 'Renounce']","['Chicken', 'Eggs', 'Turkey', 'Broiler', 'Rooster', 'Duck', 'Coop', 'Egg', 'Rooster', 'Feather', 'Chicken', 'Nest', 'Cluck', 'Coop', 'Cock', 'Hen', 'Feathers', 'Cluck', 'Coop', 'Egg', 'Crow']","He was almost persuaded to invest in a poultry farm , but chickened out at the last minute . nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan ",
